Distillery;Region;Year founded;Owner;Capacity / LPA
Speyside (Spey);Speyside;1976;Speyside Distillers Co.;600000
Royal Lochnagar;Highlands;1845;Diageo;500000
Benromach;Speyside;1898;Gordon & MacPhail;500000
Bonnington;Lowlands;2020;John Crabbie & Co.;500000
Glenturret;Highlands;1775;Lalique Group;500000
Clydeside;Lowlands;2017;Morrison Glasgow Distillers;500000
Torabhaig;Highlands;2016;Mossburn Distillers;500000
Ardnamurchan;Highlands;2014;Adelphi Distillery Ltd;450000
Glasgow;Lowlands;2015;The Glasgow Distillery Co.;440000
Isle of Harris;Highlands;2015;Isle of Harris Distillers Ltd.;400000
Eden Mill;Lowlands;2014;Paul Miller;300000
Edradour No.2;Highlands;2018;Signatory Vintage Scotch Whisky Co. Ltd;270000
Annandale;Lowlands;2014;Annandale Distillery Co.;260000
Arbikie;Highlands;2015;Arbikie Distilling Ltd;250000
Holyrood;Lowlands;2019;Holyrood Distillery Ltd.;250000
Lindores Abbey;Lowlands;2017;The Lindores Distilling Co.;250000
Kingsbarns;Lowlands;2014;Wemyss Vintage Malts;205000
Lone Wolf;Highlands;2016;Brewdog plc.;200000
Isle of Raasay;Highlands;2017;R&B Distillers;190000
Lochlea;Lowlands;2018;Lochlea Distilling Co.;180000
Wolfburn;Highlands;2013;Aurora Brewing Ltd;175000
GlenWyvis;Highlands;2017;GlenWyvis Distillery Ltd;150000
Strathearn ;Highlands;2013;Douglas Laing;140000
Edradour;Highlands;1825;Signatory Vintage Scotch Whisky Co. Ltd;135000
Nc'nean;Highlands;2017;Drimnin Distillery Co.;100000
Ballindalloch;Speyside;2014;MacPherson-Grant;100000
Daftmill;Lowlands;2005;Francis Cuthbert;65000
Abhainn Dearg;Highlands;2008;Mark Tayburn;50000
Dornoch;Highlands;2016;Phil & Simon Thompson;25000
